Tanintharyi	Dawei	Thayetchaung	50421	55241	5642	5663	44779	49578
Tanintharyi	Dawei	Yebyu	62441	60192	3948	3910	58493	56282
Tanintharyi	Myeik	Myeik	139592	144897	55056	60085	84536	84812
Tanintharyi	Myeik	Kyunsu	87777	83976	3054	2494	84723	81482
Tanintharyi	Myeik	Palaw	63485	66507	12270	12842	51215	53665
Tanintharyi	Myeik	Tanintharyi	54817	52036	2746	2768	52071	49268
Tanintharyi	Kawthoung	   Kawthoung	72163	67857	34581	34125	37582	33732
Tanintharyi	Kawthoung	Bokpyin	43712	38006	5460	4982	38252	33024
Bago	Bago	Bago	235529	255905	119243	135181	116286	120724
Bago	Bago	Thanatpin	69136	76151	7381	8441	61755	67710
Bago	Bago	Kawa	93804	103559	8050	9346	85754	94213
Bago	Bago	Waw	83699	92315	10752	12391	72947	79924
Bago	Bago	Nyaunglebin	94464	105019	27863	31381	66601	73638
Bago	Bago	Kyauktaga	120024	131188	14849	16807	105175	114381
Bago	Bago	Daik-U	96362	106168	18054	20423	78308	85745
Bago	Bago	Shwegyin	53092	54370	11994	12585	41098	41785
Bago	Taungoo	Taungoo	125142	136914	50614	57975	74528	78939
Bago	Taungoo	Yedashe	103298	110295	11364	13056	91934	97239
Bago	Taungoo	Kyaukkyi	54287	59042	5051	5764	49236	53278
Bago	Taungoo	Phyu	121123	136150	29680	34200	91443	101950
Bago	Taungoo	Oktwin	75381	84447	6481	7662	68900	76785
Bago	Taungoo	Htantabin	55333	61943	4646	5243	50687	56700
Bago	Pyay	Pyay	119670	131973	62903	71958	56767	60015
Bago	Pyay	Paukkhaung	60941	63915	6477	7560	54464	56355
Bago	Pyay	Padaung	69284	74930	8187	9491	61097	65439
Bago	Pyay	Paungde	66212	71349	11974	13481	54238	57868
Bago	Pyay	Thegon	61807	69150	7280	8472	54527	60678
Bago	Pyay	Shwedaung	56637	65034	7956	9725	48681	55309
Bago	Thayarwady	Thayarwady	72772	78332	17282	18533	55490	59799
Bago	Thayarwady	Letpadan	84396	93011	11638	13154	72758	79857
Bago	Thayarwady	Minhla	58577	63914	5384	6313	53193	57601
Bago	Thayarwady	Okpho	60705	65957	5304	6221	55401	59736
Bago	Thayarwady	Zigon	32167	35356	7076	8157	25091	27199
Bago	Thayarwady	Nattalin	82083	90058	8632	10297	73451	79761
Bago	Thayarwady	Monyo	60664	66906	4478	4979	56186	61927
Bago	Thayarwady	Gyobingauk	55749	61684	10564	12383	45185	49301
Magway	Magway	Magway	135103	154144	43890	50148	91213	103996
Magway	Magway	Yenangyaung	60228	73999	20271	24849	39957	49150
Magway	Magway	Chauk	82385	102804	20281	24795	62104	78009
Magway	Magway	Taungdwingyi	122706	137154	21742	24281	100964	112873
Magway	Magway	Myothit	74039	85472	3706	4374	70333	81098
Magway	Magway	Natmauk	92774	114222	6774	7963	86000	106259
Magway	Minbu	Minbu	88262	99920	18140	21419	70122	78501
Magway	Minbu	Pwintbyu	76740	86952	2910	3440	73830	83512
Magway	Minbu	Ngape	25075	27067	1884	2181	23191	24886
Magway	Minbu	Salin	108725	127308	5571	6587	103154	120721
Magway	Minbu	Sidoktaya	23338	24188	3222	3292	20116	20896
Magway	Thayet	Thayet	49385	54962	9403	10848	39982	44114
Magway	Thayet	Minhla	73133	72949	5892	6618	67241	66331
Magway	Thayet	Mindon	27961	31396	2112	2482	25849	28914
Magway	Thayet	Kamma	35854	39341	2417	2785	33437	36556
Magway	Thayet	Aunglan	111765	123457	24632	27855	87133	95602
Magway	Thayet	Sinbaungwe	55789	62055	2354	2735	53435	59320
Magway	Pakokku	Pakokku	130741	159398	41225	49617	89516	109781
Magway	Pakokku	Yesagyo	94353	120999	10471	12858	83882	108141
Magway	Pakokku	Myaing	100854	124917	3486	4220	97368	120697
Magway	Pakokku	Pauk	79030	92484	3255	4031	75775	88453
Magway	Pakokku	Seikphyu	46909	55860	4063	5018	42846	50842
Magway	Gangaw	Gangaw	63420	69875	6449	7490	56971	62385
Magway	Gangaw	Tilin	22859	26007	2084	2438	20775	23569
Magway	Gangaw	Saw	32546	36151	4390	5083	28156	31068
Mandalay	Mandalay	Aungmyaythazan	129959	135820	129959	135820	0	0
Mandalay	Mandalay	Chanayethazan	93245	103930	93245	103930	0	0
Mandalay	Mandalay	Mahaaungmyay	116903	124210	116903	124210	0	0
Mandalay	Mandalay	Chanmyathazi	137528	146253	137528	146253	0	0
Mandalay	Mandalay	Pyigyitagon	120794	116904	120794	116904	0	0
Mandalay	Mandalay	Amarapura	114481	123137	38959	41865	75522	81272
Mandalay	Mandalay	Patheingyi	129004	134721	6125	6957	122879	127764
Mandalay	Pyinoolwin	Pyinoolwin	128027	127481	79153	79630	48874	47851
Mandalay	Pyinoolwin	Madaya	122879	135122	11473	12761	111406	122361
Mandalay	Pyinoolwin	Singu	76774	80811	3546	3847	73228	76964
Mandalay	Pyinoolwin	Mogoke	84892	82257	37664	39945	47228	42312
Mandalay	Pyinoolwin	Thabeikkyin	83228	80474	6758	7007	76470	73467
Mandalay	Kyaukse	Kyaukse	124539	133368	19775	21707	104764	111661
Mandalay	Kyaukse	Sintgaing	71161	77757	3774	4516	67387	73241
Mandalay	Kyaukse	Myittha	92672	102957	9081	10261	83591	92696
Mandalay	Kyaukse	Tada-U	64754	73863	5800	6589	58954	67274
Mandalay	Myingyan	Myingyan	124100	151996	40016	47692	84084	104304
Mandalay	Myingyan	Taungtha	97161	119481	8107	9421	89054	110060
Mandalay	Myingyan	Natogyi	80848	96230	5975	6843	74873	89387
Mandalay	Myingyan	Kyaukpadaung	116625	145283	19939	22878	96686	122405
Mandalay	Myingyan	Ngazun	56669	67564	3248	3832	53421	63732
Mandalay	Nyaung-U	Nyaung-U	109476	130471	25840	28503	83636	101968
Mandalay	Yamethin	Yamethin	125368	132723	13689	14009	111679	118714
Mandalay	Yamethin	Pyawbwe	119235	141058	14741	17473	104494	123585
Mandalay	Meiktila	Meiktila	142787	166876	51067	60455	91720	106421
Mandalay	Meiktila	Mahlaing	63581	75846	6331	7519	57250	68327
Mandalay	Meiktila	Thazi	95463	107217	9287	11274	86176	95943
Mandalay	Meiktila	Wundwin	106214	123546	14656	17902	91558	105644
Mon	Mawlamyine	Mawlamyine	139026	150362	122052	131682	16974	18680
Mon	Mawlamyine	Kyaikmaraw	92746	103064	4936	6085	87810	96979
Mon	Mawlamyine	Chaungzon	55596	66530	3538	4189	52058	62341
Mon	Mawlamyine	Thanbyuzayat	81449	89087	27345	29863	54104	59224
Mon	Mawlamyine	Mudon	89976	100761	24801	27713	65175	73048
Mon	Mawlamyine	Ye	128883	134741	24903	26985	103980	107756
Mon	Thaton	Thaton	116394	121712	26585	28462	89809	93250
Mon	Thaton	Paung	105371	113088	13871	15563	91500	97525
Mon	Thaton	Kyaikto	90031	94501	16622	18602	73409	75899
Mon	Thaton	Bilin	87920	93155	8908	9484	79012	83671
Rakhine	Sittwe	Sittwe	70470	77429	47880	52868	22590	24561
Rakhine	Sittwe	Ponnagyun	59979	69774	5912	6779	54067	62995
Rakhine	Sittwe	Pauktaw	68195	77762	5946	6768	62249	70994
Rakhine	Sittwe	Rathedaung	50026	61948	3409	4102	46617	57846
Rakhine	Mrauk-U	Mrauk-U	87674	101956	16836	19303	70838	82653
Rakhine	Mrauk-U	Kyauktaw	78041	95059	8745	10747	69296	84312
Rakhine	Mrauk-U	Minbya	78875	90333	10656	12288	68219	78045
Rakhine	Mrauk-U	Myebon	65359	71834	5387	6179	59972	65655
Rakhine	Maungdaw	Maungdaw	21098	19687	6234	6235	14864	13452
Rakhine	Maungdaw	Buthidaung	27718	27827	4345	5367	23373	22460
Rakhine	Kyaukpyu	Kyaukpyu	78762	86590	10145	10721	68617	75869
Rakhine	Kyaukpyu	Munaung	24957	32009	2310	2936	22647	29073
Rakhine	Kyaukpyu	Ramree	44766	53125	4493	5381	40273	47744
Rakhine	Kyaukpyu	Ann	58823	60891	4110	4404	54713	56487
Rakhine	Thandwe	Thandwe	65122	68362	6731	7596	58391	60766
Rakhine	Thandwe	Toungup	77257	81084	16217	17870	61040	63214
Rakhine	Thandwe	Gwa	32580	33435	7501	7887	25079	25548
Yangon	Yangon (North)	Insein	146158	159125	146158	159125	-	-
Yangon	Yangon (North)	Mingaladon	158259	173327	95814	102582	62445	70745
Yangon	Yangon (North)	Hmawbi	120931	123676	12285	13675	108646	110001
Yangon	Yangon (North)	Hlegu	134087	136654	18906	21172	115181	115482
Yangon	Yangon (North)	Taikkyi	134714	142554	42161	45839	92553	96715
Yangon	Yangon (North)	Htantabin	71807	73985	4318	4701	67489	69284
Yangon	Yangon (North)	Shwepyithar	164264	179262	133915	145880	30349	33382
Yangon	Yangon (North)	Hlaingtharya	322862	365005	223568	258560	99294	106445
Yangon	Yangon (East)	Thingangyun	98698	110788	98698	110788	-	-
Yangon	Yangon (East)	Yankin	32724	38222	32724	38222	-	-
Yangon	Yangon (East)	South Okkalapa	75547	85579	75547	85579	-	-
Yangon	Yangon (East)	North Okkalapa	156340	176953	156340	176953	-	-
Yangon	Yangon (East)	Thaketa	107290	113266	107290	113266	-	-
Yangon	Yangon (East)	Dawbon	36745	38580	36745	38580	-	-
